Output File                                                                  Name                                     Type     FSH File                                     Lines
StructureDefinition-myhealthway-cancer-bodysurface.json                      MyHealthWayBodySurface                   Profile  MyHealthWayBodySurface.fsh                   5 - 22
StructureDefinition-myhealthway-cancer-disease-status.json                   MyHealthWayCancerDiseaseStatus           Profile  MyHealthWayDiseaseStatus.fsh                 10 - 52
StructureDefinition-myhealthway-cancer-ecog-performance-status.json          MyHealthWayECOGPerformanceStatus         Profile  MyHealthWayECOGPerformanceStatus.fsh         6 - 38
StructureDefinition-myhealthway-cancer-histologic-behavior-and-type.json     MyHealthWayHistologicBehaviorAndType     Profile  MyHealthWayHistologicBehaviorAndType.fsh     8 - 35
StructureDefinition-myhealthway-cancer-histologic-grade.json                 MyHealthWayHistologicGrade               Profile  MyHealthWayHistologicGrade.fsh               9 - 38
StructureDefinition-myhealthway-cancer-history-of-mstastatic-cancer.json     MyHealthWayHistoryOfMetastaticCancer     Profile  MyHealthWayHistoryOfMetastaticCancer.fsh     3 - 23
StructureDefinition-myhealthway-cancer-human-specimen.json                   MyHealthWayHumanSpecimen                 Profile  MyHealthWayHumanSpecimen.fsh                 1 - 5
StructureDefinition-myhealthway-cancer-karnofsky-performance-status.json     MyHealthWayKarnofskyPerformanceStatus    Profile  MyHealthWayKarnofskyPerformanceStatus.fsh    6 - 38
StructureDefinition-myhealthway-cancer-lanskyplay-performance-status.json    MyHealthWayLanskyPlayPerformanceStatus   Profile  MyHealthWayLanskyPlayPerformanceStatus.fsh   6 - 38
StructureDefinition-myhealthway-cancer-mcode-paient-bundle.json              MyHealthWayPatientBundle                 Profile  MyHealthWayMCODEPatientBundle.fsh            3 - 7
StructureDefinition-myhealthway-cancer-primary-cancer-condition.json         MyHealthWayPrimaryCancerCondition        Profile  MyHealthWayPrimaryCancerCondition.fsh        11 - 46
StructureDefinition-myhealthway-cancer-radiotherapy-course-summary.json      MyHealthWayRadiotherapyCourseSummary     Profile  MyHealthWayRadiotherapyCourseSummary.fsh     16 - 54
StructureDefinition-myhealthway-cancer-radiotherapy-volume.json              MyHealthWayRadiotherapyVolume            Profile  MyHealthWayRadiotherapyVolume.fsh            1 - 5
StructureDefinition-myhealthway-cancer-secondary-cancer-condition.json       MyHealthWaySecondaryCancerCondition      Profile  MyHealthWaySecondaryCancerCondition.fsh      10 - 43
StructureDefinition-myhealthway-cancer-tnm-distant-metastases-category.json  MyHealthWayTNMDistantMetastasesCategory  Profile  MyHealthWayTNMDistantMetastasesCategory.fsh  5 - 24
StructureDefinition-myhealthway-cancer-tnm-primary-tumor-category.json       MyHealthWayTNMPrimaryTumorCategory       Profile  MyHealthWayTNMPrimaryTumorCategory.fsh       5 - 24
StructureDefinition-myhealthway-cancer-tnm-regional-nodes-category.json      MyHealthWayTNMRegionalNodesCategory      Profile  MyHealthWayTNMRegionalNodesCategory.fsh      5 - 24
StructureDefinition-myhealthway-cancer-tnm-stage-group.json                  MyHealthWayTNMStageGroup                 Profile  MyHealthWayTNMStageGroup.fsh                 6 - 39
StructureDefinition-myhealthway-cancer-tumor-marker-test.json                MyHealthWayTumorMarkerTest               Profile  MyHealthWayTumorMarkerTest.fsh               7 - 37
StructureDefinition-myhealthway-cancer-tumor-size.json                       MyHealthWayTumorSize                     Profile  MyHealthWayTumorSize.fsh                     8 - 73
StructureDefinition-myhealthway-cancer-tumor.json                            MyHealthWayTumor                         Profile  MyHealthWayTumor.fsh                         2 - 6
